task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
monash_nn5_weekly,0,105,8,32,0.8888888888888892,0.11111111111111083,0.8888888888888892,9,8,1,8,False,888.0
monash_nn5_weekly,0,105,8,64,0.8888888888888892,0.11111111111111083,0.8888888888888892,9,8,1,8,False,888.0
monash_nn5_weekly,0,105,8,128,0.8888888888888892,0.11111111111111083,0.8888888888888892,9,8,1,8,False,888.0
monash_tourism_monthly,0,67,24,2,0.3515625,0.6484375,0.5,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,4,0.498046875,0.501953125,0.7083333333333334,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,8,0.52734375,0.47265625,0.75,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,16,0.52734375,0.47265625,0.75,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,32,0.52734375,0.47265625,0.75,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,64,0.52734375,0.47265625,0.75,8,6,2,6,False,1536.0
monash_tourism_monthly,0,67,24,128,0.52734375,0.47265625,0.75,8,6,2,6,False,1536.0
monash_tourism_quarterly,0,22,8,2,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,4,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,8,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,16,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,32,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,64,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_quarterly,0,22,8,128,0.2578125,0.7421875,0.75,4,3,1,3,False,768.0
monash_tourism_yearly,0,7,4,2,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_tourism_yearly,0,7,4,4,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
